Feature,Score
membership_revenue,90.25671791831975
estimated_ltv,75.49901471538284
retention_x_ticket,75.4961387124273
avg_ticket_price,65.20843460709438
total_revenue,64.55761869664661
revenue_momentum,56.11353236880705
3m_avg_revenue,42.396296417858515
revenue_per_member,40.29698642064296
prev_month_revenue,31.939854844145678
class_pack_revenue_pct,30.647942127642967
churn_rate,8.542994627351767
retention_rate,8.542994627350867
mom_member_growth,6.236676072059212
3m_avg_retention,5.763317428288287
staff_util_x_members,5.040160450397784
churned_members,4.824449680980326
month_cos,3.8405759042145764
total_members,3.152360345976654
is_summer,2.7561364622928513
staff_count,2.6225647996408616
retail_revenue,2.269433673690554
membership_revenue_pct,1.9982723527346162
upsell_rate,1.1693177023338936
mom_revenue_growth,1.1643543919631627
3m_avg_attendance,0.7174778513119149
staff_utilization_rate,0.5973357655049112
new_members,0.4919621812518196
is_january,0.4237977858437779
staff_per_member,0.29593772403333457
total_classes_held,0.27761716532350633
attendance_x_classes,0.21686203630504322
class_pack_revenue,0.19460318430340315
total_class_attendance,0.19460318430340212
month_sin,0.12322978933343517
month_index,0.09337043247376124
class_attendance_rate,0.05631387288046568
class_utilization,0.05281462104819378
is_fall,0.03411624300562979
upsell_x_members,0.02980824468119861
3m_std_revenue,0.024981106432197947
prev_month_members,3.664016624264125e-05
