Feature,Score
revenue_momentum,19887.75722726722
3m_avg_revenue,19757.866159931833
personal_training_count,13856.418768850128
personal_training_revenue,13856.418768849806
prev_month_revenue,13497.593800360628
total_revenue,13067.756207694889
nutrition_coaching_count,11657.168533333972
nutrition_coaching_revenue,11657.168533333737
wellness_services_count,11291.811741221725
wellness_services_revenue,11291.811741221525
premium_membership_revenue,10773.773261543805
membership_revenue,10446.758358828103
class_pack_revenue,10321.484202148082
unlimited_class_revenue,9886.847323497645
basic_membership_revenue,8091.151407219582
staff_util_x_members,7375.12466662663
total_members,7213.982196355936
premium_membership_count,6940.671298503508
prev_month_members,6896.700537340496
staff_count,6407.066280636626
unlimited_class_count,6215.206166019016
retail_revenue,5230.544065607976
basic_membership_count,4689.651986733797
apparel_revenue,4404.129473041066
apparel_sales_count,4404.129473041059
supplements_revenue,4388.263378585613
supplements_sales_count,4388.263378585577
class_pack_10_count,3507.7098709022553
class_pack_10_revenue,3507.7098709022002
drop_in_class_count,2335.3721627603113
drop_in_class_revenue,2335.3721627603045
family_membership_revenue,2304.6082428899826
estimated_ltv,1650.5560830778325
retention_x_ticket,1650.532222745104
equipment_revenue,1513.1265785562512
equipment_sales_count,1513.1265785562473
churned_members,1474.0591009828731
new_members,1462.4038897183873
avg_ticket_price,1436.2462653458156
revenue_per_member,1436.2462653458156
class_pack_20_revenue,1359.9483073196925
class_pack_20_count,1359.9483073196898
total_class_attendance,1192.5834841562748
size_large,930.4882728295547
upsell_x_members,867.3618886951998
family_membership_count,837.5052364380858
class_utilization,753.2954927197881
price_high,635.957897501872
price_low,543.7956604818304
3m_avg_retention,490.776978351088
churn_rate,463.5035683753151
retention_rate,463.50356837481263
size_small,378.57540124576946
total_classes_held,267.2690304952418
3m_std_revenue,250.33750742595893
attendance_x_classes,246.9966870057545
location_urban,104.70535272449935
studio_age,95.92266055323174
membership_revenue_pct,72.87650948849455
staff_per_member,48.37544403580049
class_pack_revenue_pct,31.5864546094101
size_medium,20.22766786849367
price_medium,14.086090593437744
month_cos,4.0490400550733465
mom_member_growth,1.2473847651575896
is_summer,1.1286757662385762
is_january,0.9408286867119455
avg_classes_per_member,0.7970705164593171
class_attendance_rate,0.08937437857180545
upsell_rate,0.05645851603916406
is_fall,0.042841079622587847
mom_revenue_growth,0.021047075818006387
month_index,0.002623362902175633
month_sin,0.0008324895350851609
3m_avg_attendance,1.037006900155317e-06
